id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
103439,little-red,Little Red,,2018-07-15,False,2019-08-28T23:24:53,,0.0,0,0,0,0,107,0,0,PC,Memodol,Platformer,,,0,0,0,0,0,0
10344,armored-freedom,Armored Freedom,,2017-03-24,False,2019-08-28T22:14:29,http://www.armoredfreedom.com,0.0,0,4,21,0,292,0,0,Linux||macOS||PC||Xbox One,Killer Bees Games,Strategy,Killer Bees Games,,0,26,0,0,0,0
103440,fistmebro,FistMeBro!,,2016-12-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,40,0,0,PC,mmena,Action,,,0,0,0,0,0,0
103441,wyrmdigger,Wyrmdigger,,2016-08-08,False,2019-01-09T12:41:06,,0.0,0,0,0,0,85,0,0,PC,Samuel Partridge,RPG,,,0,0,0,0,0,0
103442,pairidaeza,Pairidaeza,,2018-06-17,False,2019-01-09T12:41:06,,0.0,0,0,0,0,68,0,0,Web,mostopha,,,,0,0,0,0,0,0
103443,one-strike-demo,One Strike Demo,,2016-10-10,False,2019-08-28T23:24:53,,0.0,0,0,0,0,56,0,0,Web,Inc4nuS,Action||Fighting,,,0,0,0,0,0,0
103444,timeframe-original-prototype,TIMEframe Original Prototype,,2015-04-30,False,2019-01-09T12:41:06,,0.0,0,0,0,0,38,0,0,PC||macOS,x70x,,,,0,0,0,0,0,0
103445,dream-ghost,Dream Ghost,,2016-12-06,False,2019-01-09T12:41:06,,0.0,0,0,0,0,24,0,0,PC||macOS,Ellen Cunningham,,,,0,0,0,0,0,0
103446,the-deer-god-itch,The Deer God (itch),,2014-12-06,False,2019-08-28T23:24:53,,0.0,0,0,0,0,268,0,0,PC,Crescent Moon Games,Platformer,,,0,2,0,0,0,0
103447,cube-shooter-31,Cube Shooter 31,,2014-12-08,False,2019-01-09T12:41:06,,0.0,0,0,0,0,48,0,0,,cachila4408,Shooter,,,0,0,0,0,0,0
103448,the-spy-who-shot-me-itch,The spy who shot me (itch),,2017-12-09,False,2019-01-09T12:41:06,,0.0,0,0,0,0,197,0,0,PC,bluestargeneral,Shooter,,,0,0,0,0,0,0
